input,target
"Today I received a letter from Convergent Outsourcing, trying to collect money for a debt I paid off and had removed from my credit report years ago. When I called, I told the representative that the debt had been paid and that the statute of limitations had passed regardless. I asked for a supervisor and a fax number to send proof of payment and I was hung up on. This happened three more times, along with threats of arresting me and a court case pending. The debt was owed originally to XXXX, who I called to ensure I did n't owe anything further, which was confirmed. To be treated snidely and threatened even if I still owed would be inexcusable, but this is just plain XXXX and I ca n't imagine how many people have actually been bamboozled by these people. Please do something about this.",Loan issues
"The creditor is XXXX XXXX XXXX XXXX XXXX and they put XXXX accounts on collections and are destroying my credit report. XXXX account is for {$300.00} and the other XXXX is for {$130.00}. 

The collection agency is Online Information Service, XXXX XXXX, XXXX, NC XXXX ( XXXX ) XXXX. 

I want to pay for these but I never got billed for it. I would like to settle them but the number in the credt report does not exist. Please help me. The phone number they put on the report is not valid. 

This servicer is refusing to even reply to my letters, This is an outrage.",Loan issues
"This debt NEVER existed. This is NOT a debt. 

This involves the return of XXXX equipment that was returned to XXXX in 2010!!!!! 

I have been harassed by several collection agencies since 2010! This has to STOP!!! 


I am tired of being harassed and want this removed from my credit report IMMEDIATELY!!! 

If it is not removed and the harassment does not cease immediately I will have no alternative but to file a suit against this debt collector.",Loan issues
"IC SYSTEMS INC is attempting to collect a debt that is unverifiable and I do not owe. I expect a cease and desist and item to be deleted from all major credit reporting agencies, this inaccurate and false reporting is hurting my financial goals. I have never done business with this company and have no agreements with this company. IC SYSTEMS INC is  reporting invalidated information on my credit reports, this action might constitute fraud under both federal and state laws.",Loan issues
this company constantly call me every day from a different number regarding this debt. this debt. if i blocked them from one number they call me from another number this very annoying i am XXXX years old. this leinholder that sold me car is known by the better XXXX  as a SCAM!! for the two or three years i had this car i paid this lienholder a total of {$25000.00} on XXXX XXXX XXXX i still owe a balance of {$10000.00}. the person belittle me because of this loan. i have health conditions one told he did not care. so i believe this lienholder have gone out of business. This company will call in the middle of the night as silent phone call.,Loan issues
"This company has reported a charge off on my credit report. I paid this account in full through a wage garnishment. Garnishment stopped when it was paid in full, yet it is now listed as a charge off. When I called the company, they state the debt was not paid XXXX full and garnishment was stopped in error. This is absolutely NOT true. I want this charge off and all bad reports from this company removed from all of my credit reports",Loan issues
"There are two issues. One is the validity of the debt, and the second is the fact that I asked them to stop contacting. I sent a letter certified, return receipt asking them to stop contacting me. They continue to contact me.",Loan issues
The presiding XXXX XXXX Circuit Court Judge entered a Summary Judgment in 2015 that dismissed Discover Financial Services claim. Discover has persisted in efforts to collect this debt & declined to remove this baseless claim from my XXXX credit report.,Loan issues
I'm trying to get my credit in better standing XXXX collection and credit  acceptance are no supposed to be on my credit. The hard inquiries should off I discovered i have XXXX. I just wan na pit the debt i do owe into one consolidated payments to make payments on them off. Im raising all four of my grandkids and i have 3 daughters living at home. I enrolled into online school.want to show my kids its never to late. If i was to leave this world I a single mother of 4 daughters 3 live ay home and im raising my older daughter 's four kids. I trying to be all i can.,Loan issues
"we have been contacted by hunter warfield collection agency approximately 5 times. each time we requested paperwork sent through the mail for official verification. each time I provided my address and each time I was told that I would receive it within 7-10 days. I have never received anything. the last time they called me they were extremely rude and disrespectful. they argued with me and said they sent it when they never did. we told them we had no problem paying them as long as we received something official in the mail. they argued, their supervisor argued and then they hung up in my face.",Loan issues
"I was called by Fair Collections & Outsourcing , Inc. ( "" FCO '' ) on behalf of my co-worker who might have outstanding debt. I was called by the following numbers on the following dates on my personal cell phone : X/XX/17 : XXXX EST by XXXX XXXX/XXXX/XXXX : XXXX EST by XXXX On each of the aforementioned calls, I requested that this company stop contacting me as they had the wrong party. The individuals calling from FCO were asking to speak with my co-worker 's name ( skip tracing ). I informed both of these callers that they had the wrong number and to please stop calling me. I would like this harassment to stop.",Loan issues
The debt was paid by electronic transfer but the creditor never acknowledged receipt of the payment and turned it over to a collection agency who has called my cell phone repeatedly even when told to stop.,Loan issues
"The issue is with Portfolio Recovery Assoc. They have been trying to collect a debt balance from the original creditor, XXXX XXXX XXXX  XXXX XXXX, amount owed {$1800.00}. 

The credit limit on this credit card account was {$500.00}. XXXX XXXX & Portfolio Recovery has added over {$1300.00} of finance charges. Most recently I called Portfolio Recovery on XX/XX/2020 to settle this account. They refuse to move from the balance owed. This is the same response I have been getting from XXXX XXXX & Portfolio Recovery for over 3 years. 

Since they will not settle on a reasonable amount, I wish to have this completely removed from ALL credit reports.",Loan issues
I am being charged for a collection that i was never aware of. Person who rented in XXXX Arizona used my name and identity information to rent an apartment under my name. Agency responsible for apartments never received a signature from me nor did i ever provide original or valid identification or knew there was an apartment under my name in that city.,Loan issues
"I wish to file a Complaint again XXXX XXXX  XXXX XXXX  XXXX as Trustee XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX. 
Attached are Certified copies of it's released of my mortgage ( 7 years ) ago in XXXX. 
Yet it retained a Debt Collector XXXX XXXX XXXX to harassed and terrorized me with legal actions that never materialized. 
Also attached is the Certified copy of the "" Deed "" registered after my mortgage was released from XXXX XXXX  and currently they file their complaint as Trustee for XXXX XXXX XXXX,,.",Loan issues
I have been getting XXXX to XXXX or on some days more phonecalls from Portfolio Recovery. They call sometimes beginning at XXXX XXXX in the morning and sometimes after XXXX on a given day. My wife works XXXX shift and we do not need them to be calling us that many times. I feel that is Harassment!!,Loan issues
"The complain XXXX has been closed out and they continue to call. Their comments admit an address change was done wrong and their fault and will Be removing late charge, so stop calling. I finally got a bill today and mailed my check.",Loan issues
"They have been calling every day for several months, looking for a XXXX XXXX, XXXX years old. I am XXXX. The person they are looking for, I believe, is from XXXX, CA. I am sick of these calls. Asking for the debt to be paid. The last incident was on XX/XX/2021. They previously called at XXXX XXXX. They call several times a day. I have Previously informed Them I want the calls to stop.",Loan issues
"Re : XXXX - LVNV Funding LLC account number ending : XXXX - XXXX XXXX XXXX To Whom It May Concern : This email was sent to LVNV Funding LLC regarding accounts # XXXX, XXXX, as Trustee for XXXX XXXX XXXX XXXX XXXX, wish they claim Collection. 

I am requesting validation, made pursuant to the Fair Debt Collection Practices Act and the Fair Credit Reporting Act, along with the corresponding local state laws. Please note that I am requesting Validation ; that is competent evidence bearing my signature, showing that I have ( or ever had ) some contractual obligation to pay LVNV Funding LLC.",Loan issues
This company has continued to call after being told to contact by mail only. They have contacted my spouse who is not on the credit card and shared information with them regarding the amount of money owed and the last 4  of the credit card number. When I called them today to ask about them doing this they became very aggressive and threatening.,Loan issues
"Afini Inc, ha s place  XXXX  accounts on my   XXXX   and   XXXX   credit report. I have been a victim of identity theft and I submitted my police report to  XXXX , and the other credit agencies. I have never had an account with  XXXX   XXXX  or   XXXX   and I keep telling these companies that. I am a victim of identity theft and this account is NOT mines . Afini does not have any validation nor did I receive anything in the mail for either of these accounts. My rights have been violated and they need to remove these false accounts off my credit report.",Loan issues
I originally had a auto loan with Global lending services and the car was repossessed. I was not given a demand letter showing that the car was up for repossession. After the car was sold at auction I was still not given a chance to take car back if I made payment to get it back. I was supposed to be given 10 days. I do not feel Global Lending gave me fair warning or notice of default and the repo should not be placed on my credit for those reasons. Global lending account opened around X/2013 Account Closed and updated to show balance XXXX XX/X/2013. orginal car was around 15k,Loan issues
XXXX XXXX XXXX XXXX XXXX is attempting to collect a debt that is not only a result of identity theft but is as we know junk debt that has been re-aged from 2004. I take my credit very seriously and anyone who violates my consumer rights and protection. This debt can not be validated per the FDCPA or the FCRA for identity theft victims. I 'm tired of the harassment rather it be calls or letters. Attached is the original copy of my police report and the letter I received from XXXX XXXX XXXX XXXX.,Loan issues
"This started with a dispute with a leasing company ( XXXX XXXX ) that claimed that I owed them money. They threatened legal action but instead went to a collection agency NCC Business Services , Inc. NCC sent a collection notice in the mail and I requested that they send proof of what they claim I owe. They in turn began to call me at home and work so I requested that communications be done through correspondence. After that I received a final bullying call to my cell phone and I reminded them to send a letter, instead they attacked my credit and reported negatively to credit agencies. I have yet to receive proof of what they claim I owe but somehow they have the right to tank my credit?",Loan issues
"I received a letter in the mail dated XX/XX/XXXX from XXXX XXXX XXXX saying I owe XXXX. The letter stated this is an attempt to collect a debt. Unless I notify there office within 30 days after receiving this notice that I dispute the validity of this debt or any portion thereof, this office will assume this debt is valid. I mailed a certified letter to XXXX XXXX XXXX dated XX/XX/XXXX requesting validation of the account. I did not hear or receive any documentation response for XXXX XXXX XXXX. On XX/XX/XXXX I get a email from my credit report monitor service saying an collection account been added to my all three credit agency and it was XXXX XXXX XXXX.",Loan issues
"A company called Empire Resolutions at XXXX keeps calling my home phone. They have called my home more than 4 times looking for a XXXX XXXX ( my ex-husbands first wife ). I have no communication with her and I have asked this company to take my phone number off their call list several times. The have an automated system that keeps calling my home. I actually spoke with someone twice and asked them to stop but they still continue to call. I know my rights under FDCPA and they are not allowed to robo-call nor are they allowed to call family members, friends or third parties more than once. THEY HAVE CALLED ME MORE THAN 4 TIMES IN A 4 DAY PERIOD. Please do something about this!!!",Loan issues
I ended cable services with XXXX and returned there equipment. When the collection agency called me I was informed that the charges were for non returned equipment. I returned the equipment to the XXXX store in XXXX Ca. I was told that they would investigate and return the call with an update. The next thing I received was a ding on my credit report.,Loan issues
"I have a letter from XXXX XXXX XXXX, XXXX, XXXX XXXX XXXX XXXX XXXX XXXX, XXXX AZ XXXX. The letter offers me a settlement opportunity. I have searched through my records and it appears to me that this debt was bought from XXXX XXXX XXXX, XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX, XXXX Texas XXXX. This account was paid in full in XXXX XXXX. I am perplexed as to why XXXX has this when it was paid. My distress at the moment is that it is a negative item on my credit record and I have tried to explain to the company and the credit bureau that this is a mistake and I want it removed from my credit record but I have not gotten any cooperation. 
The statute of limitations on debts is XXXX years in Texas. This should not be on my credit record.",Loan issues
"I have never received any documentation or any type of response from XXXX XXXX XXXX. I have no clue as to who this company is. I checked my credit report and sawthat they were trying to collect a debt from XXXX in the amount of {$320.00}. I have never received anything from XXXX and I previous was disputing that matter. The account for XXXX XXXX shows that it was open on XXXX XXXX, 2017. As of today, I have received no correspondence from them.",Loan issues
"XXXX XXXX XXXX had contacted me 4x on Monday, XX/XX/XXXX18. Once at XXXX and thrice at XXXX. I took a screenshot of the 4 calls made on my XXXX. I consider this harassment as far as a debt collection tactic goes.",Loan issues
"Sent letter by XXXX on XX/XX/2020 and by certified mail on XX/XX/2020 to Commonwealth Financial Systems for two items that appeared on my credit report in XX/XX/2020. I requested verification that the debt was mine in the form of my signature. I received itemized statements for both. The statement for {$1400.00} not only does not contain my signature, it also does not contain my name. The statement for {$290.00} does not contain my signature. My name is typed on it and under it a XXXX XXXX XXXX XXXX  policy number that does not belong to me. Since mailing Commonwealth these letters I have begun to receive phone calls from a company called XXXX for the {$1400.00}. So, I am wonder if they "" sold '' this since receiving my letter although they are still reporting it the credit bureaus.",Loan issues
"I went to XXXX  XXXX XXXX on XX/XX/XXXX, that say I owe a balance of {$830.00}. I do not have that amount of money I am a XXXX  XXXX who got furloughed by their job. I barely received this notice on XX/XX/XXXX. They did however give me 30 days to pay of this debt. I need help I dont know what to Im so young  and I dont want my credit score to drop how am I going to pay this debt if I dont have enough money.",Loan issues
"I called several times to pay my debt. I emailed as well. No one ever answered the phone or returned calls when messages were left. Thankfully I was able to pay thru the original creditor. I was trying to verify that the company was in fact real, and not a scan before I just mailed a check.",Loan issues
"I recieved a letter regarding this debt and then I responded that I am unaware of this debt nor is this debt mine. I then recieved a credit report with once again my score lowed. This debt as I explained to this company is not mine, I have never been to this place and I live in another town/county as they are saying this debt is owed, I never even recieved a bill regarding this debt if I did owe it, I recieved a letter and I replied and then few weeks later it is added to my credit report. Again, this debt is not mine and they need to verify accuracy and name before sending owed bills to myself.",Loan issues
"A man named XXXX keeps calling me from Evans & Associates Law Office in XXXX New York. They use several phone numbers and change them frequently, but the most current one is XXXX. They started contacting me last year about an XXXX credit card debt that was discharged in bankruptcy in XXXX 2011. However, they are VERY rude, XXXX threatens me with legal action, tries to intimidate me, and has even verbally attacked me on the phone. I even had to change my phone number and they STILL keep calling.",Loan issues
"in CFPB XXXX ... CENTRAL FINANCIAL CONTROL SENT A FABRICATED FALSE RESPONSE.CFC SAID I WAS NOT COVERED BY MY 100 PER CENT COVERAGE INSURANCE. 
I HAVE ATTACHED MY COBRA POLICY PAYMENT CASHED BY MY EMPLOYER ON XX/XX/XXXX.I HAVE ENCLOSED A BILLING SHOWING THE SERVICER RETURNING CHECKS TO XXXX.I HAVE A BILL FOR XXXX THAT WAS NEVER SENT TO THE INSURANCE BY CFC 'S CLIENT. 
ONCE AGAIN I HAD 100 PER CENT COVERAGE FOR XXXX THAT YOUR BILLING DEPT XXXX. 

CFC BY REPORTING TO THE CREDIT BUREAUS IS DAMAGING ME WHILE I TRY TO GET A MORTGAGE. 
THE RESPONSE TO THE PREVIOUS CFPB INVESTIGATION SHOULD HAVE BEEN TO DELETE REPORTING TO ALL CREDIT BUREAUS FOR THEIR NOW WILLFUL ERROR.",Loan issues
"XX/XX/17 ( {$860.00} ) Acct # XXXX, Acct # XXXX ( {$77.00} ), Acct # XXXX ( {$56.00} ) HIPPA Violation ; Medical Commercial Audit/ MCA did not provide me with the provider of services to release any of my medical information ( tests, diagnosis ext ) regarding alleged debt as well as cease any credit bureau reporting. This entry 's insertion on my credit reports is a blantant JIPPA violation and a violation of my consumer rights according to the Fair Debt Collection Practices ACT ( FDCPA ). these entries must be deleted from my credit reports immediately with XXXX, XXXX and XXXX",Loan issues
Repeatedly calling XXXX times every day even if they payment have n't been payed XXXX hours after due date and have n't exceeded grays period of XXXX days. Calls are made on Saturdays to even Sundays sometimes. No voicemail nothing just harassing non stop calls non stop its out of limits. Please no one ever accept financing from this company its a rip off i had XXXX credit and they charging me 20 % APR they tricked me they sold me their warranty and made my life miserable. Cant wait to get out of this deal. Stay away from EXETER finance,Loan issues
Providian National Bank threatening suit on a debt that was charged off in 2004 using XXXX & XXXX ( case XXXX ) on account XXXX. Debt collector calls on an almost daily basis threatening suit and indicates this will be the last call then calls the following day with same threats. Used location service Overnight Locators XXXX XXXX XXXX as well. Calls family members and neighbors. Debtor is XXXX years and lives on social security. Please stop ALL communications immediately including telephone and letters.,Loan issues
"This company which I have "" NO CONTRACT '' with has no legal right to collect on this said debt. Reporting of the debt is a violation of the FCRA. Section 623 ( a ) ( 2 ), Section 623 ( a ) ( 1 ) ( B ), and Section 623 ( b ) ( 1 ) ( E ). Please provide me with a true and certified copy of the complete audit trail/Certified Final Forensic Internal Audit of said account. Furthermore, in order for this company to validate the debt, please provide verification through audit certification of debt entry in accordance with G.A.A.P., I.F.R.S., in accordance with basel 3 accord and U.N.C.I.T.R.A.L Conventions.",Loan issues
"Received a notice in XX/XX/XXXX that Hiday & Ricke P.A had bought an old judgment for a returned vehicle. The amount stated was XXXX Two months later H & R, contacted my company and started a garnishment, without a court order. On XX/XX/XXXXthey filed in court for a garnishment for the amount of XXXX. As of this date:XX/XX/XXXX they have received XXXX  and have not notified my employer that the debt is paid. Phone calls to the office are never returned. XXXX XXXX XXXX  is the lawyer that has shown up for the two hearings on the matter and the only signatury on the majority of the paperwork I have received.",Loan issues
"On XX/XX/XXXX I had a car accident, the police called a towing company to pick up the vehicle while I was hospitalized. After a couple of days I filed a claim with my insurance provider. Then I received a letter in the mail by the police as too the where about of my car, and that the police station placed a hold on my car. I went to the towing company to see the car and took some pictures, and tried to release it to the insurance company but they said they could not until the hold was payed off first from the police. I paid of the hold and gave the document to the towing company, which they said they would releases the car to the assessors when they showed up.",Loan issues
"I have no knowledge of this collection account. Moreover, my husband has had a dispute with this creditor. To which he reported to you on XX/XX/19, COMPLAINT ID XXXX stating that they have not reported this account on anyone 's credit. However, this account has been listed on my XXXX and XXXX reports. Furthermore, Aspen Collections have not reached out to me in any form of communication regarding this account.",Loan issues
"This company calls numerous times day, multiple times a week. When answered, they will not identify the business matter. They will also not leave messages. The debt is a charge off by a different company. They have also sent letters through XXXX for direct delivery which is just dropped on the doorstep. They are harassing me and now they are threatening to sue. I recieved a letter on XX/XX/XXXX that I got off my doorstep via XXXX that saysI 'll be sued if i don't respond. The letter is dated XX/XX/XXXX.",Loan issues
"XXXX XXXX XXXXl XXXX. 
opened XX/XX/XXXX I had XXXX 3 weeks after transferring jobs. my previous employment I had insurance, and did n't receive insurance for 90 days at the new job. I was eligible for XXXX insurance but they did give it to me. 

XXXX XXXXs XXXX XXXX opened XX/XX/XXXX I gave them my proof of insurance but they did except it..",Loan issues
"Hi Team, National recovery collection agency they did not send any notice to me and opened a {$65.00} amount account on XX/XX/2018 on my credit report.

I called them about the account then they send back notice to contact them in 30 days.i called again and asked more details on this account but they give an email ID for any further communication. I sent out 3-4 Email after that but they never responded. 
Again I called them but they said will update in some days .after more than a month I have not received any account information back from them.",Loan issues
"Yesterday, I went to the bank to meet with a Mortgage consultant. She checked my credit and told me there was a claim from Trident Asset Management for {$68.00} in reference to a XXXX bill from XXXX and the last time they filed a claim was XXXX. I have never had an account with XXXX-not cable, not cellular, etc. I received a letter from Trident asking for this money a couple of years ago, so I contacted XXXX, who had no record of me having any account with them. 

I had no idea that this had been affecting my credit since XXXX and would like it taken care of ASAP because I am trying to buy a new home. 

I have read numerous complaints similar to my own for Trident Asset Management. I can not reach them on the phone and I do not feel comfortable paying a company that is fraudulent.",Loan issues
"On XX/XX/XXXX my dispute letter was delivered to SCA Collection in order to dispute information I had seen on my credit report, I also requested a XXXX Original Issue Document From this alleged collection agency as of today it is XX/XX/XXXX and I still didn't receive any information on this alleged collection and I need it to remove both accounts from each credit bureau immediately the alleged Account numbers are XXXX and XXXX",Loan issues
"I am currently  one  month behind on our mortgage payment and working hard to get it back up to date.  WestStar  Mortgage  Company  has been contacting my relatives stating they are calling regarding an active loan in my name and they need to locate me. No one needs to know anything about my loan  (  even that said loan exists ) except me and anyone who I legally state can be given information on the record. I have done no such thing, and now that others are aware that I have a loan with  WestStar I fe el my rights have been violated.",Loan issues
"They are calling very frequently about a past Student Loan balance, and are threatening legal action. I used to let the calls go to voicemail, now I block the number, but they keep calling from different numbers, some with the same first six numbers of my phone number in an effort to trick me into thinking that it is a local call.",Loan issues
"Debt unknown. I got a call from XXXX XXXX stating he had legal action against me. He stated they had "" certified legal action '' to deliver to me. I called back and got and XXXX answered with only his name and Claims. I asked what company he was with and he stated Bayside Capital. I have never heard of this company and do not appreciate a company who has sent me no correspondence with me stating they will show up at my work or home.",Loan issues
"I sold my home on XX/XX/2019. 

XXXX XXXX XXXX in XXXX XXXX CO claims i owe them money. They received the account 6 days after I closed escrow. 

I keep telling XXXX this and they keep trying to collect money from me.",Loan issues
"A representative from Total Card , Inc., who would n't identify herself, repeatedly called me in reference to a debt owed for {$450.00} for a credit card account that 's is fraudulent and do not belong to me. The representative repeatedly harassed, oppressed and verbally abused me and threaten me with violence, death, arrest, seizure of my property, wage garnishment and total embarrassment, if I did not pay the debt owed. Total Card is in violation of Fair Debt Collection Practices Act and Minnesota debt collection laws. I told the representative countless times, that I am a victim of identity theft and the account do not belong to me, but my answers and requests, was disregarded. SSN : XXXX, DOB : XX/XX/XXXX",Loan issues
I XXXX XXXX entered into a consumer credit transaction with Bank Of America in XX/XX/2019. Pursuant to 15 USC 1635 Congress states that ANY consumer credit transaction in which a security interest was retain has the right to rescind the transaction and as well keep the car ( in this case ) and get their down payment back if its equitable to the consumer. It is equitable to me to keep the car and get my down payment back. Pursuant to 15 USC 1611 and 15 USC 1640 failing to disclose this information makes Bank of America criminally and civilly liable for this violation,Loan issues
"I never received any communication from XXXX XXXX XXXX, and they put a collection on my credit report. They told me that they received the collection on XX/XX/2020, and it was placed on my credit report XX/XX/2020. That is 9 DAYS LATER. Again, I DID NOT receive notification from them AT ALL, and you are supposed to have AT LEAST 30 days to get in touch with the client, verify, etc. Once I saw that this was reported to my credit report, I called the company, and they told me that they don't reach out to clients, and that they could not send me notification until I contacted them. How am I supposed to contact them if I never knew I had a collection until it hit my credit? They were supposed to contact me.",Loan issues
"After reviewing my credit profile on XX/XX/2019, I identified a discrepancy with account listed under Ability Recovery Services. I requested a validation on XX/XX/2019 as this medical account has been paid for by XXXX. Credit report was reviewed again on XX/XX/2019 and the account is still reflecting on my report and I believe that they are trying to collect on an account that has been fully paid for and I believe that the creditor does not have authorization to legally access my medical records and to attempt to collect on this account. Please strike and remove this account from all 3 credit bureaus until adequate validation has been received proving that this account was not paid for in full by XXXX and that all information is correct.",Loan issues
I have informed the debt collector ( Convergent ) and the debt holder ( XXXX ) that their alleged debt is the result of identity theft. I have filled out XXXX fraud packet and submitted it to them. They have not removed the debt and repaired my credit. I have demanded that my credit be repaired and that has not been done.,Loan issues
"False debt was added to my credit report by a vindictive landlord / property management company. They claimed I damaged the rental property before a move, this is a lie. They then added bogus charges and sent to collections to collect this fake debt.",Loan issues
"XXXX XXXX contact number provided was XXXX from URS Solutions has been harrasing me with calls, threatening to garnish wages, take me to court. He called my place of employment 4 times after i asked him not to call my employer since i can not take personal calls. He failed to provide me a validation letter and bully me to provide payment information right away.",Loan issues
"I had a  XXXX   XXXX   XXXX  account that I have paid in full. For whatever reaso n, Southwest Credit Systems will not update the account as paid in full with all three credit bureaus (   XXXX   XXXX   XXXX   XXXX   ). I keep disputing the debt, but they keep saying that I owe it. I even have receipts to show that the account has been paid in full.",Loan issues
"I want to report multiple violations that XXXX XXXX XXXX is committing to the Free Credit Reporting Act and to my rights as a consumer. Just to mention two serious violations, see below : 1. Incorrect opening date 2. Incorrect last activity date I am demanding this company to remove the item from my report. I am having psychological issues because of this situation. Please send the attached documents to I.Q. Data International, NC. 

Thank you so much.",Loan issues
"I was contacted over a year ago about this particular debt! I contacted debt collector at that time to get info on what debt was. The company only new the company they collected for so I contacted them about the debt. This company that I contacted did n't know anything about it, and they did n't even have my name on file! They told me to file fraud report with police and I did with   XXXX   XXXX   sheriff 's office. I had n't heard anymore until  X/X/ 17   when I received another letter from another collection agency wanting to collect for the same co. I again called the company who supposedly wanted money and again they showed no record of me and of coarse no money owed from me. This is showing up on my credit report and it is false, I am listed with collection agency for no reason.",Loan issues
I have asked for proof of this money the company the say they bought {$1100.00} is  XXXX   XXXX  and yet there is not record or proof on any of my credit reports and I have asked for a letter from the original debt and them and have received nothing to prove its mine PORTFOLIO RECOVERY ASSOCIATES Last reported :   XX/XX/XXXX     - {$1100.00} Needs Attention Overview You 've paid off 0 % of your collection amount.   Balance {$1100.00} Highest Balance {$1100.00} Opene d XX/XX/XXXX ( 3 m os ) Account status Open Type -- Responsibility Individual Remarks Consumer disputes this account information Collection account Original Creditor Name  XX/XX/XXXX   XXXX  XX/XX/XXXX   XXXX   XXXX   XX/XX/XXXX,Loan issues
Commonwealth Financial Systems added several account to my credit report. I requested a letter of validation in XXXX and they have fail to send me any documentation proving that the debt is mine. Ive also ask them to remove it from my credit and they still havent.,Loan issues
"Notice of dispute, requested name and original creditor name and address, never gave the info asked, more than 10 harrasing calls after told to communicate by mail on in response to affidavit. Never sent back affidavit, send debt instrument for payment that was accepted but never returned and still claiming a debt owed with no true bill ever sent. Still calling and threaten to steal car over phone.",Loan issues
"I have sent Portfolio letters regarding this matter, I have ask them to send me a contract with them, that has my signature. They have failed to do so. They claim I owe them {$1100.00} from XXXX  XXXX. I don't believe I owe Portfolio money, They have put this as a collection on my 3 credit reports, With out a contractual agreement between me and Portfolio that would be Illegal to do so.",Loan issues
"I was contacted by Biehl & Biehl XXXX XXXX XXXX XXXX XXXX IL XXXX a collection agency on XX/XX/2021 about a debt that I don't owe, I never signed a contract or agreement to pay such charges {$1700.00} I disputed the debt and asked to the collection agency to validate the debt and provide me a proof that they are Licensed to collect debts in Florida, on XXXX XX/XX/2021 they write me again this time, ( quoting ) "" We have written you several times about this past due bill but you have not responded '' they ignored my response and started hammering my cell phone, they are acting in behalf of XXXX XXXX XXXX I never signed any invoice accepting the charges that they are trying to collect, including some charges that never happened at all. The collection agency is in a clear violation of FDCPA.",Loan issues
I get numerous calls per day from midland credit management. No one will be on the call. If I make a payment they do not update the due date and continue the calls. I am receiving hundreds of phone calls a month I will n glad to provide cell phone records to detail the extent of the harassment,Loan issues
"This should be considered a follow-up to Reference XXXX. Because J A Cambece took no additional action the case was dismissed. However, on XXXX-XXXX-2018 I received a call from their office attempting to collect on the debt regardless. I consider this to be a form of harassment and will seek any remedy available. The number shown on the caller ID was XXXX and the time was XXXXXX/XX/XXXX. Thank you for your assistance. 

XXXX XXXX Consumer",Loan issues
"Our office notified Capital One that XXXX XXXX passed away and that we were acting as his representative. We advised Capital One that we would notify them if an estate opened. 

After receiving our notification, Capital One began sending letters to the former business of the decedent stating, "" We're trying to find the person who has the authority to pay the outstanding bills of XXXX XXXX XXXX out XXXX XXXX XXXX XXXX 's estate. '' Since we wrote to Capital One providing them with an address to communicate about the debts of the decedent, there was no proper reason for them to contact the former employment address. Capital One was provided with an address to send any questions or correspondence.",Loan issues
"This Cavalry collections company forced my XXXX   roommate to sign for some document by way of a sheriff. Not only do I not recognize the company and affirm Ive never had business with them, the deceptive practice of having someone sneak into a secured property and forcing someone with police XXXX to sign unknowingly and unwittingly for legal documents that arent his and shouldnt be delivered to our residence anyway.",Loan issues
"; Man deny that this is my debt and if it is my debt, who is the Man claiming I owe this debt, I deny that it is still a valid debt and if it is a valid debt, I deny the amount requested is the correct amount. I acknowledge this debt was established without my Knowledge and I have no contractual agreement with with JPMorgan Case Credit Card",Loan issues
"I 've disputed this account twice. Each time they have not deleted the account as requested but instead update the account as a new debt. Which harms my credit worthiness and character. I disputed the account in   XXXX   XXXX   XXXX     and again this year in  XXXX . After the first dispute I received no reply from the company only and updated credit history with a negative reflection on my credit. After  XXXX  's dispute they now send me a bill. The account does n't belong to me. Yet, they are asking me to pay  XXXX .   I do n't know if the company is  Pinnacle or Resurgent  as I have one company listed on my credit and the other sending the letters.",Loan issues
"I was contacted by a debt collector called Machols Johannes in XXXX, Colorado about a debt that I had already been to court on and setup payment arrangement with and paid the entire bill off. That company was XXXX XXXX XXXX. I have trying to Express my situation with Machols and Johannes bu th they just wont listen and have now file a court case against me for a bill I already paid.",Loan issues
"I got a notice from XXXX XXXX stating I owe a debt. The original creditor was XXXX XXXX. 

I explained to XXXX XXXX on more than occasion that I did n't have a XXXX account and never have I ever had a XXXX account. 

This has been going on for about a year now. I reach out to XXXX XXXX and explain the situation. They did an investigation and found that what I said was the truth. 

They send me there finding from that investigation, and I sent the same letter to XXXX XXXX proving that I had nothing to do with this account, yet they refuse to remove this negative account from my credit.",Loan issues
"I have credit XXXX account and found that JHPDE Finance 1, LLC, also with XXXX XXXX serviced by XXXX XXXX XXXX that it was reported on XX/XX/21 that there is a debt being collected. I have yet to know anything about this.",Loan issues
All collection accounts and charge off accounts have {$0.00} balances. Each collection agency agreed to contact the bureaus and request the accounts be removed from my credit profile. It has been over 45 days and the accounts have not been removed and several balances have not been updated.,Loan issues
"Midstate Collection Solutions keeps trying to call me on medical debt not owed by me. This debt is for an alleged XXXX XXXX who I have no affiliation with and it is regarding medical debt from XXXX XXXX XXXX XXXX ( XXXX ). I learned from XXXX that Midstate Collection Solutions is the only collection agency that still has my cell phone has active in their system in regards to this alleged debt. 

I sent XXXX a letter and followed up with an e-mail. I learned form XXXX that they also sent my letter to Midstate Collection Solutions. I followed with XXXX via e-mail and called Midstate Collection Solutions twice regarding their response to my attached letter and still have not heard from either of them. See attached letter for more details.",Loan issues
This debt was a result of a dispute between my family and the apartment complex lived in approximately two years ago. Because of the circumstances surrounding the cancellation of the lease the original client request for this case to be closed with the collection agency. The collection agency closed the account at the request of the their client but failed to remove it from my XXXX credit report.,Loan issues
Around XX/XX/XXXX I opened a XXXX XXXX Card. I paid it off in XX/XX/XXXX. It was sold to XXXX XXXX and they reported it to collections. They say I owe {$1000.00} but I paid {$1200.00} and I have proof it was paid.,Loan issues
