-DOCSTART- -X- O
vehicle -X- _ O
a -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX, -X- _ O
VIN -X- _ O
XXXX -X- _ O
was -X- _ O
purchased -X- _ O
XX/XX/XXXX. -X- _ O
Account -X- _ O
number -X- _ O
is -X- _ O
XXXX. -X- _ O
Loan -X- _ O
showed -X- _ O
a -X- _ O
XXXX -X- _ O
balance -X- _ O
as -X- _ O
of -X- _ O
XX/XX/XXXX. -X- _ O

Good -X- _ O
afternoon, -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Phillip -X- _ B-PER
Stokes -X- _ I-PER
and -X- _ O
my -X- _ O
email -X- _ O
is -X- _ O
regarding -X- _ O
Washington, -X- _ B-ORG
Morgan -X- _ I-ORG
and -X- _ I-ORG
Schaefer -X- _ I-ORG
Bank -X- _ I-ORG
and -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$482944. -X- _ B-AMOUNT
I -X- _ O
became -X- _ O
injured -X- _ O
and -X- _ O
unable -X- _ O
to -X- _ O
perform -X- _ O
my -X- _ O
job -X- _ O
12 -X- _ O
months -X- _ O
ago -X- _ O
and -X- _ O
can -X- _ O
not -X- _ O
pay -X- _ O
my -X- _ O
private -X- _ O
loan -X- _ O
anymore. -X- _ O
I -X- _ O
have -X- _ O
told -X- _ O
Navient -X- _ O
this -X- _ O
repeatedly, -X- _ O
and -X- _ O
they -X- _ O
are -X- _ O
now -X- _ O
harassing -X- _ O
me, -X- _ O
my -X- _ O
mother, -X- _ O
and -X- _ O
mother -X- _ O
in -X- _ O
law -X- _ O
with -X- _ O
constant -X- _ O
phone -X- _ O
calls -X- _ O
and -X- _ O
letters. -X- _ O
They -X- _ O
will -X- _ O
not -X- _ O
stop. -X- _ O
They -X- _ O
have -X- _ O
also -X- _ O
hung -X- _ O
up -X- _ O
on -X- _ O
me -X- _ O
when -X- _ O
I -X- _ O
have -X- _ O
returned -X- _ O
their -X- _ O
calls -X- _ O
to -X- _ O
state -X- _ O
my -X- _ O
situation. -X- _ O

I -X- _ O
was -X- _ O
sent -X- _ O
a -X- _ O
letter -X- _ O
by -X- _ O
Herrera, -X- _ B-PER
Mata -X- _ I-PER
and -X- _ O
Holmes -X- _ B-ORG
Financial -X- _ I-ORG
about -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$304719 -X- _ B-AMOUNT
I -X- _ O
allegedly -X- _ O
took -X- _ O
out -X- _ O
on -X- _ O
2021-08-29. -X- _ B-DATE
I -X- _ O
have -X- _ O
a -X- _ O
lease -X- _ O
with -X- _ O
Toyota -X- _ B-ORG
Financial -X- _ I-ORG
- -X- _ O
it -X- _ O
ends -X- _ O
in -X- _ O
XXXX. -X- _ O
Monthly -X- _ O
payment -X- _ O
is -X- _ O
$330.00 -X- _ B-AMOUNT
... -X- _ O
plus -X- _ O
the -X- _ O
car -X- _ O
has -X- _ O
XXXX -X- _ O
miles -X- _ O
less -X- _ O
than -X- _ O
the -X- _ O
allowable -X- _ O
XXXX. -X- _ O
My -X- _ O
husbands -X- _ O
business -X- _ O
closed -X- _ O
down -X- _ O
to -X- _ O
due -X- _ O
the -X- _ O
covid-19 -X- _ O
- -X- _ O
its -X- _ O
a -X- _ O
non -X- _ O
essential -X- _ O
business -X- _ O
so -X- _ O
we -X- _ O
have -X- _ O
no -X- _ O
income -X- _ O
coming -X- _ O
in. -X- _ O
Trying -X- _ O
to -X- _ O
alleviate -X- _ O
as -X- _ O
many -X- _ O
bills -X- _ O
as -X- _ O
possible -X- _ O
... -X- _ O
ending -X- _ O
the -X- _ O
lease -X- _ O
early -X- _ O
we -X- _ O
can -X- _ O
then -X- _ O
cancel -X- _ O
the -X- _ O
auto -X- _ O
insurance -X- _ O
as -X- _ O
well -X- _ O
would -X- _ O
be -X- _ O
most -X- _ O
helpful. -X- _ O
I -X- _ O
contacted -X- _ O
Toyota -X- _ O
and -X- _ O
they -X- _ O
said -X- _ O
I -X- _ O
could -X- _ O
end -X- _ O
it -X- _ O
but -X- _ O
would -X- _ O
have -X- _ O
to -X- _ O
pay -X- _ O
fees -X- _ O
or -X- _ O
if -X- _ O
I -X- _ O
just -X- _ O
hand -X- _ O
in -X- _ O
car -X- _ O
early -X- _ O
my -X- _ O
credit -X- _ O
would -X- _ O
suffer. -X- _ O
Can -X- _ O
you -X- _ O
help? -X- _ O

Good -X- _ O
afternoon, -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Steven -X- _ B-PER
Stanley -X- _ I-PER
and -X- _ O
my -X- _ O
email -X- _ O
is -X- _ O
regarding -X- _ O
Deleon-Archer -X- _ B-ORG
Bank -X- _ I-ORG
and -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$263387. -X- _ B-AMOUNT
Y'all -X- _ O
have -X- _ O
stolen -X- _ O
from -X- _ O
me. -X- _ O
All -X- _ O
my -X- _ O
medical -X- _ O
debt -X- _ O
was -X- _ O
covered -X- _ O
by -X- _ O
insurance, -X- _ O
uet -X- _ O
these -X- _ O
charges -X- _ O
are -X- _ O
obviously -X- _ O
more -X- _ O
than -X- _ O
simple -X- _ O
insurance -X- _ O
adjustments. -X- _ O
You -X- _ O
are -X- _ O
purposely -X- _ O
ruining -X- _ O
my -X- _ O
credit, -X- _ O
not -X- _ O
to -X- _ O
XXXX -X- _ O
the -X- _ O
call -X- _ O
to -X- _ O
XXXX -X- _ O
where -X- _ O
they -X- _ O
stated -X- _ O
they -X- _ O
couldn't -X- _ O
find -X- _ O
remarks -X- _ O
I -X- _ O
was -X- _ O
looking -X- _ O
at -X- _ O
on -X- _ O
my -X- _ O
report. -X- _ O
You -X- _ O
are -X- _ O
thieves! -X- _ O

I -X- _ O
was -X- _ O
sent -X- _ O
a -X- _ O
letter -X- _ O
by -X- _ O
Chen-Wade -X- _ B-ORG
Financial -X- _ I-ORG
about -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$545619 -X- _ B-AMOUNT
I -X- _ O
allegedly -X- _ O
took -X- _ O
out -X- _ O
on -X- _ O
2020-08-07. -X- _ B-DATE
XXXX -X- _ O
2012 -X- _ O
, -X- _ O
I -X- _ O
went -X- _ O
into -X- _ O
XXXX -X- _ O
XXXX -X- _ O
to -X- _ O
discuss -X- _ O
options -X- _ O
for -X- _ O
hair -X- _ O
removal. -X- _ O
We -X- _ O
had -X- _ O
agreed -X- _ O
to -X- _ O
10 -X- _ O
appointments -X- _ O
for -X- _ O
a -X- _ O
total -X- _ O
of -X- _ O
$3800.00. -X- _ B-AMOUNT
After -X- _ O
the -X- _ O
first -X- _ O
appointment, -X- _ O
I -X- _ O
declined -X- _ O
to -X- _ O
continue -X- _ O
and -X- _ O
asked -X- _ O
for -X- _ O
a -X- _ O
refund -X- _ O
of -X- _ O
the -X- _ O
remaining -X- _ O
services. -X- _ O
The -X- _ O
company -X- _ O
offered -X- _ O
to -X- _ O
have -X- _ O
the -X- _ O
services -X- _ O
transferred -X- _ O
to -X- _ O
another -X- _ O
service -X- _ O
instead -X- _ O
of -X- _ O
the -X- _ O
hair -X- _ O
removal, -X- _ O
however -X- _ O
I -X- _ O
declined -X- _ O
and -X- _ O
assumed -X- _ O
that -X- _ O
I -X- _ O
would -X- _ O
be -X- _ O
refunded -X- _ O
the -X- _ O
remaining -X- _ O
amount. -X- _ O
However, -X- _ O
as -X- _ O
I -X- _ O
am -X- _ O
now -X- _ O
applying -X- _ O
for -X- _ O
a -X- _ O
mortgage, -X- _ O
I -X- _ O
found -X- _ O
that -X- _ O
Chase -X- _ O
is -X- _ O
reporting -X- _ O
the -X- _ O
debt -X- _ O
as -X- _ O
a -X- _ O
charge -X- _ O
off -X- _ O
with -X- _ O
the -X- _ O
amount -X- _ O
reflecting -X- _ O
past -X- _ O
due. -X- _ O
I -X- _ O
absolutely -X- _ O
dispute -X- _ O
this -X- _ O
as -X- _ O
it -X- _ O
is -X- _ O
a -X- _ O
debt -X- _ O
for -X- _ O
services -X- _ O
never -X- _ O
rendered. -X- _ O

I -X- _ O
was -X- _ O
sent -X- _ O
a -X- _ O
letter -X- _ O
by -X- _ O
Gallagher, -X- _ B-ORG
Orr -X- _ I-ORG
and -X- _ I-ORG
Hoffman -X- _ I-ORG
Financial -X- _ I-ORG
about -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$344413 -X- _ B-AMOUNT
I -X- _ O
allegedly -X- _ O
took -X- _ O
out -X- _ O
on -X- _ O
2020-09-24. -X- _ B-DATE
Portfolio -X- _ O
Recovery -X- _ O
calls -X- _ O
many -X- _ O
times -X- _ O
a -X- _ O
day -X- _ O
from -X- _ O
different -X- _ O
numbers. -X- _ O
But, -X- _ O
where -X- _ O
the -X- _ O
problem -X- _ O
is -X- _ O
is -X- _ O
that -X- _ O
they -X- _ O
will -X- _ O
call -X- _ O
late -X- _ O
at -X- _ O
night -X- _ O
( -X- _ O
after -X- _ O
XXXX -X- _ O
XXXX -X- _ O
). -X- _ O
This -X- _ O
evening -X- _ O
I -X- _ O
received -X- _ O
a -X- _ O
call -X- _ O
from -X- _ O
the -X- _ O
at -X- _ O
XXXX -X- _ O
XXXX. -X- _ O
I'm -X- _ O
tired -X- _ O
of -X- _ O
the -X- _ O
late -X- _ O
night -X- _ O
phone -X- _ O
calls -X- _ O
and -X- _ O
on -X- _ O
occasion -X- _ O
early -X- _ O
morning -X- _ O
calls -X- _ O
as -X- _ O
well. -X- _ O
I -X- _ O
have -X- _ O
tried -X- _ O
to -X- _ O
block -X- _ O
them. -X- _ O
But, -X- _ O
the -X- _ O
calls -X- _ O
continue. -X- _ O

Hi, -X- _ O
I -X- _ O
am -X- _ O
Julie -X- _ B-PER
Tucker -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
applied -X- _ O
for -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$174802 -X- _ B-AMOUNT
from -X- _ O
Harris -X- _ B-ORG
PLC -X- _ I-ORG
Financial -X- _ I-ORG
on -X- _ O
2021-07-14. -X- _ B-DATE
This -X- _ O
started -X- _ O
with -X- _ O
a -X- _ O
dispute -X- _ O
with -X- _ O
a -X- _ O
leasing -X- _ O
company -X- _ O
( -X- _ O
XXXX -X- _ O
XXXX -X- _ O
) -X- _ O
that -X- _ O
claimed -X- _ O
that -X- _ O
I -X- _ O
owed -X- _ O
them -X- _ O
money. -X- _ O
They -X- _ O
threatened -X- _ O
legal -X- _ O
action -X- _ O
but -X- _ O
instead -X- _ O
went -X- _ O
to -X- _ O
a -X- _ O
collection -X- _ O
agency -X- _ O
NCC -X- _ B-ORG
Business -X- _ I-ORG
Services -X- _ I-ORG
, -X- _ O
Inc. -X- _ O
NCC -X- _ O
sent -X- _ O
a -X- _ O
collection -X- _ O
notice -X- _ O
in -X- _ O
the -X- _ O
mail -X- _ O
and -X- _ O
I -X- _ O
requested -X- _ O
that -X- _ O
they -X- _ O
send -X- _ O
proof -X- _ O
of -X- _ O
what -X- _ O
they -X- _ O
claim -X- _ O
I -X- _ O
owe. -X- _ O
They -X- _ O
in -X- _ O
turn -X- _ O
began -X- _ O
to -X- _ O
call -X- _ O
me -X- _ O
at -X- _ O
home -X- _ O
and -X- _ O
work -X- _ O
so -X- _ O
I -X- _ O
requested -X- _ O
that -X- _ O
communications -X- _ O
be -X- _ O
done -X- _ O
through -X- _ O
correspondence. -X- _ O
After -X- _ O
that -X- _ O
I -X- _ O
received -X- _ O
a -X- _ O
final -X- _ O
bullying -X- _ O
call -X- _ O
to -X- _ O
my -X- _ O
cell -X- _ O
phone -X- _ O
and -X- _ O
I -X- _ O
reminded -X- _ O
them -X- _ O
to -X- _ O
send -X- _ O
a -X- _ O
letter, -X- _ O
instead -X- _ O
they -X- _ O
attacked -X- _ O
my -X- _ O
credit -X- _ O
and -X- _ O
reported -X- _ O
negatively -X- _ O
to -X- _ O
credit -X- _ O
agencies. -X- _ O
I -X- _ O
have -X- _ O
yet -X- _ O
to -X- _ O
receive -X- _ O
proof -X- _ O
of -X- _ O
what -X- _ O
they -X- _ O
claim -X- _ O
I -X- _ O
owe -X- _ O
but -X- _ O
somehow -X- _ O
they -X- _ O
have -X- _ O
the -X- _ O
right -X- _ O
to -X- _ O
tank -X- _ O
my -X- _ O
credit? -X- _ O

Good -X- _ O
afternoon, -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Lauren -X- _ B-PER
Franklin -X- _ I-PER
and -X- _ O
my -X- _ O
email -X- _ O
is -X- _ O
regarding -X- _ O
Mills, -X- _ B-ORG
Ford -X- _ I-ORG
and -X- _ I-ORG
Sanchez -X- _ I-ORG
Bank -X- _ I-ORG
and -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$779107. -X- _ B-AMOUNT
I -X- _ O
paid -X- _ O
off -X- _ O
my -X- _ O
mortgage -X- _ O
loan -X- _ O
with -X- _ O
Investors -X- _ B-ORG
Bank -X- _ I-ORG
on -X- _ O
XX/XX/2020, -X- _ O
but -X- _ O
I -X- _ O
have -X- _ O
not -X- _ O
received -X- _ O
any -X- _ O
documentation -X- _ O
evidencing -X- _ O
that -X- _ O
the -X- _ O
loans -X- _ O
was -X- _ O
paid -X- _ O
off. -X- _ O
I -X- _ O
have -X- _ O
not -X- _ O
received -X- _ O
the -X- _ O
cancelled -X- _ O
mortgage -X- _ O
and/ -X- _ O
or -X- _ O
note -X- _ O
or -X- _ O
the -X- _ O
release -X- _ O
of -X- _ O
mortgage -X- _ O
lien -X- _ O
documents. -X- _ O
The -X- _ O
Loan -X- _ O
number -X- _ O
was -X- _ O
XXXX. -X- _ O

I -X- _ O
was -X- _ O
sent -X- _ O
a -X- _ O
letter -X- _ O
by -X- _ O
Brooks, -X- _ B-ORG
Woods -X- _ I-ORG
and -X- _ I-ORG
Phillips -X- _ I-ORG
Financial -X- _ I-ORG
about -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$940383 -X- _ B-AMOUNT
I -X- _ O
allegedly -X- _ O
took -X- _ O
out -X- _ O
on -X- _ O
2021-02-17. -X- _ B-DATE
I -X- _ O
am -X- _ O
a -X- _ O
victim -X- _ O
of -X- _ O
fraud.The -X- _ O
DOJ -X- _ O
has -X- _ O
convicted -X- _ O
XXXX -X- _ O
XXXX -X- _ O
to -X- _ O
XXXX -X- _ O
yrs -X- _ O
in -X- _ O
prison -X- _ O
for -X- _ O
mortgage -X- _ O
fraud. -X- _ O
I -X- _ O
happened -X- _ O
to -X- _ O
be -X- _ O
one -X- _ O
of -X- _ O
his -X- _ O
victims. -X- _ O
I -X- _ O
sent -X- _ O
my -X- _ O
short -X- _ O
sale -X- _ O
to -X- _ O
BofA -X- _ O
on -X- _ O
XX/XX/2016. -X- _ O
it -X- _ O
was -X- _ O
processed -X- _ O
and -X- _ O
XXXX -X- _ O
XXXX -X- _ O
the -X- _ O
negotiator -X- _ O
sent -X- _ O
my -X- _ O
realtor -X- _ O
an -X- _ O
email -X- _ O
stating -X- _ O
that -X- _ O
until -X- _ O
we -X- _ O
get -X- _ O
the -X- _ O
fraudulent -X- _ O
lien -X- _ O
off -X- _ O
the -X- _ O
title -X- _ O
BofA -X- _ O
would -X- _ O
not -X- _ O
be -X- _ O
able -X- _ O
to -X- _ O
process -X- _ O
the -X- _ O
short -X- _ O
sale.My -X- _ O
agent -X- _ O
complied -X- _ O
with -X- _ O
BofA -X- _ O
's -X- _ O
request -X- _ O
and -X- _ O
they -X- _ O
turned -X- _ O
around -X- _ O
and -X- _ O
set -X- _ O
a -X- _ O
sale -X- _ O
date -X- _ O
on -X- _ O
my -X- _ O
property -X- _ O
for -X- _ O
XXXX -X- _ O
XXXX -X- _ O
2016. -X- _ O
This -X- _ O
is -X- _ O
a -X- _ O
dirty -X- _ O
trick -X- _ O
by -X- _ O
BofA. -X- _ O
I -X- _ O
would -X- _ O
like -X- _ O
some -X- _ O
help -X- _ O
here -X- _ O
in -X- _ O
getting -X- _ O
the -X- _ O
sale -X- _ O
date -X- _ O
removed -X- _ O
until -X- _ O
I -X- _ O
can -X- _ O
get -X- _ O
the -X- _ O
fraudulent -X- _ O
lien -X- _ O
removed. -X- _ O
My -X- _ O
compliant -X- _ O
number -X- _ O
at -X- _ O
the -X- _ O
DOJ -X- _ O
is -X- _ O
XXXX -X- _ O
: -X- _ O
XXXX. -X- _ O
The -X- _ O
complaint -X- _ O
was -X- _ O
filed -X- _ O
XXXX -X- _ O
XXXX -X- _ O
well -X- _ O
before -X- _ O
BofA -X- _ O
declined -X- _ O
my -X- _ O
short -X- _ O
sale -X- _ O
because -X- _ O
they -X- _ O
did -X- _ O
n't -X- _ O
want -X- _ O
my -X- _ O
file -X- _ O
to -X- _ O
be -X- _ O
in -X- _ O
their -X- _ O
que. -X- _ O

Hi, -X- _ O
I -X- _ O
am -X- _ O
Daniel -X- _ B-PER
Johnson -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
applied -X- _ O
for -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$889582 -X- _ B-AMOUNT
from -X- _ O
Long -X- _ B-ORG
and -X- _ I-ORG
Sons -X- _ I-ORG
Financial -X- _ I-ORG
on -X- _ O
2021-01-30. -X- _ B-DATE
The -X- _ O
debt -X- _ O
was -X- _ O
paid -X- _ O
by -X- _ O
electronic -X- _ O
transfer -X- _ O
but -X- _ O
the -X- _ O
creditor -X- _ O
never -X- _ O
acknowledged -X- _ O
receipt -X- _ O
of -X- _ O
the -X- _ O
payment -X- _ O
and -X- _ O
turned -X- _ O
it -X- _ O
over -X- _ O
to -X- _ O
a -X- _ O
collection -X- _ O
agency -X- _ O
who -X- _ O
has -X- _ O
called -X- _ O
my -X- _ O
cell -X- _ O
phone -X- _ O
repeatedly -X- _ O
even -X- _ O
when -X- _ O
told -X- _ O
to -X- _ O
stop. -X- _ O

Good -X- _ O
afternoon, -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
David -X- _ B-PER
Nguyen -X- _ I-PER
and -X- _ O
my -X- _ O
email -X- _ O
is -X- _ O
regarding -X- _ O
Lyons -X- _ B-ORG
Group -X- _ I-ORG
Bank -X- _ I-ORG
and -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$29270. -X- _ B-AMOUNT
Loans -X- _ O
opened -X- _ O
on -X- _ O
( -X- _ O
XXXX -X- _ O
from -X- _ O
) -X- _ O
XX/XX/XXXX, -X- _ O
XX/XX/XXXX, -X- _ O
XXXX -X- _ O
XXXX -X- _ O
from -X- _ O
) -X- _ O
XX/XX/XXXX, -X- _ O
XX/XX/XXXX, -X- _ O
XX/XX/XXXX, -X- _ O
XX/XX/XXXX -X- _ O
all -X- _ O
show -X- _ O
the -X- _ O
same -X- _ O
four -X- _ O
late -X- _ O
payments -X- _ O
spanning -X- _ O
XX/XX/XXXX -X- _ O
and -X- _ O
XX/XX/XXXX -X- _ O
and -X- _ O
I -X- _ O
was -X- _ O
a -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
at -X- _ O
the -X- _ O
time -X- _ O
and -X- _ O
not -X- _ O
in -X- _ O
repayment. -X- _ O
Please -X- _ O
removed -X- _ O
these -X- _ O
from -X- _ O
my -X- _ O
credit -X- _ O
scores. -X- _ O

Good -X- _ O
afternoon, -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Christine -X- _ B-PER
Chandler -X- _ I-PER
and -X- _ O
my -X- _ O
email -X- _ O
is -X- _ O
regarding -X- _ O
Chavez -X- _ B-ORG
LLC -X- _ I-ORG
Bank -X- _ I-ORG
and -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$911588. -X- _ B-AMOUNT
The -X- _ O
loan -X- _ O
servicer, -X- _ O
OCWEN, -X- _ O
put -X- _ O
homeowners -X- _ O
insurance -X- _ O
on -X- _ O
my -X- _ O
mortgage -X- _ O
even -X- _ O
though -X- _ O
I -X- _ O
already -X- _ O
had -X- _ O
a -X- _ O
full -X- _ O
and -X- _ O
sufficient -X- _ O
policy -X- _ O
on -X- _ O
my -X- _ O
property. -X- _ O
They -X- _ O
also -X- _ O
included -X- _ O
fees -X- _ O
for -X- _ O
appraisal, -X- _ O
inspection -X- _ O
and -X- _ O
attorney -X- _ O
fees. -X- _ O
I -X- _ O
filed -X- _ O
a -X- _ O
complaint, -X- _ O
XXXX. -X- _ O
OCWEN -X- _ O
only -X- _ O
removed -X- _ O
the -X- _ O
cost -X- _ O
of -X- _ O
insurance. -X- _ O
I -X- _ O
have -X- _ O
called -X- _ O
to -X- _ O
no -X- _ O
avail! -X- _ O

Good -X- _ O
afternoon, -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Michelle -X- _ B-PER
Cole -X- _ I-PER
and -X- _ O
my -X- _ O
email -X- _ O
is -X- _ O
regarding -X- _ O
Mejia, -X- _ B-ORG
Griffith -X- _ I-ORG
and -X- _ I-ORG
Bradley -X- _ I-ORG
Bank -X- _ I-ORG
and -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$405420. -X- _ B-AMOUNT
SLS -X- _ O
or -X- _ O
Specialized -X- _ B-ORG
Loan -X- _ I-ORG
Servicing -X- _ I-ORG
has -X- _ O
sent -X- _ O
out -X- _ O
three -X- _ O
checks -X- _ O
from -X- _ O
my -X- _ O
escrow -X- _ O
account -X- _ O
they -X- _ O
can't -X- _ O
track -X- _ O
these -X- _ O
payments -X- _ O
and -X- _ O
my -X- _ O
escrow -X- _ O
IS -X- _ O
DUE -X- _ O
NOW -X- _ O
to -X- _ O
XXXX -X- _ O
my -X- _ O
insurance -X- _ O
company. -X- _ O
all -X- _ O
checks -X- _ O
have -X- _ O
been -X- _ O
lost. -X- _ O
they -X- _ O
can -X- _ O
not -X- _ O
track -X- _ O
where -X- _ O
the -X- _ O
escrow -X- _ O
went -X- _ O
and -X- _ O
they -X- _ O
do -X- _ O
not -X- _ O
call -X- _ O
me -X- _ O
back -X- _ O
after -X- _ O
many -X- _ O
phone -X- _ O
calls. -X- _ O

I -X- _ O
was -X- _ O
sent -X- _ O
a -X- _ O
letter -X- _ O
by -X- _ O
Figueroa -X- _ B-ORG
Ltd -X- _ I-ORG
Financial -X- _ I-ORG
about -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$115772 -X- _ B-AMOUNT
I -X- _ O
allegedly -X- _ O
took -X- _ O
out -X- _ O
on -X- _ O
2020-09-12. -X- _ B-DATE
I -X- _ O
received -X- _ O
my -X- _ O
loans -X- _ O
by -X- _ O
going -X- _ O
to -X- _ O
XXXX. -X- _ O
I -X- _ O
have -X- _ O
so -X- _ O
many -X- _ O
loans -X- _ O
through -X- _ O
them -X- _ O
and -X- _ O
the -X- _ O
interest -X- _ O
is -X- _ O
outrageous. -X- _ O
I -X- _ O
live -X- _ O
on -X- _ O
my -X- _ O
own -X- _ O
and -X- _ O
pay -X- _ O
my -X- _ O
own -X- _ O
bills -X- _ O
and -X- _ O
still -X- _ O
barely -X- _ O
to -X- _ O
manage. -X- _ O
I -X- _ O
wanted -X- _ O
to -X- _ O
further -X- _ O
my -X- _ O
education -X- _ O
but -X- _ O
found -X- _ O
out -X- _ O
none -X- _ O
of -X- _ O
my -X- _ O
credits -X- _ O
transfer -X- _ O
after -X- _ O
being -X- _ O
told -X- _ O
I -X- _ O
could -X- _ O
go -X- _ O
anywhere -X- _ O
after -X- _ O
XXXX. -X- _ O

I -X- _ O
was -X- _ O
sent -X- _ O
a -X- _ O
letter -X- _ O
by -X- _ O
Lee, -X- _ B-ORG
Smith -X- _ I-ORG
and -X- _ I-ORG
Wu -X- _ I-ORG
Financial -X- _ I-ORG
about -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$811720 -X- _ B-AMOUNT
I -X- _ O
allegedly -X- _ O
took -X- _ O
out -X- _ O
on -X- _ O
2020-02-21. -X- _ B-DATE
I -X- _ O
have -X- _ O
had -X- _ O
a -X- _ O
traditional -X- _ O
XXXX -X- _ O
account -X- _ O
for -X- _ O
over -X- _ O
40 -X- _ O
years. -X- _ O
There -X- _ O
is -X- _ O
no -X- _ O
balance -X- _ O
on -X- _ O
this -X- _ O
account. -X- _ O
I -X- _ O
started -X- _ O
to -X- _ O
receive -X- _ O
a -X- _ O
bill -X- _ O
for -X- _ O
a -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
account -X- _ O
for -X- _ O
approximately -X- _ O
XXXX -X- _ O
in -X- _ O
XX/XX/2016. -X- _ O
I -X- _ O
have -X- _ O
never -X- _ O
opened -X- _ O
this -X- _ O
account -X- _ O
or -X- _ O
charged -X- _ O
anything -X- _ O
on -X- _ O
it. -X- _ O
I -X- _ O
do -X- _ O
not -X- _ O
have -X- _ O
this -X- _ O
credit -X- _ O
card. -X- _ O
When -X- _ O
I -X- _ O
called -X- _ O
XXXX -X- _ O
they -X- _ O
had -X- _ O
no -X- _ O
record -X- _ O
of -X- _ O
the -X- _ O
account -X- _ O
and -X- _ O
I -X- _ O
was -X- _ O
advised -X- _ O
to -X- _ O
call -X- _ O
XXXX -X- _ O
XXXX -X- _ O
who -X- _ O
also -X- _ O
said -X- _ O
they -X- _ O
have -X- _ O
no -X- _ O
such -X- _ O
account. -X- _ O
No -X- _ O
one -X- _ O
was -X- _ O
able -X- _ O
to -X- _ O
give -X- _ O
me -X- _ O
any -X- _ O
explanation -X- _ O
nor -X- _ O
could -X- _ O
they -X- _ O
cancel -X- _ O
something -X- _ O
they -X- _ O
had -X- _ O
no -X- _ O
record -X- _ O
of. -X- _ O
However -X- _ O
I -X- _ O
have -X- _ O
continued -X- _ O
to -X- _ O
be -X- _ O
billed -X- _ O
for -X- _ O
this. -X- _ O
Any -X- _ O
help -X- _ O
would -X- _ O
be -X- _ O
greatly -X- _ O
appreciated. -X- _ O

Good -X- _ O
afternoon, -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Vanessa -X- _ B-PER
Bender -X- _ I-PER
and -X- _ O
my -X- _ O
email -X- _ O
is -X- _ O
regarding -X- _ O
Flores -X- _ B-ORG
Inc -X- _ I-ORG
Bank -X- _ I-ORG
and -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$604250. -X- _ B-AMOUNT
I -X- _ O
have -X- _ O
a -X- _ O
loan -X- _ O
with -X- _ O
CAPITAL -X- _ B-ORG
ONE -X- _ I-ORG
AUTO -X- _ I-ORG
FINAN. -X- _ I-ORG
I -X- _ O
have -X- _ O
always -X- _ O
made -X- _ O
my -X- _ O
payments -X- _ O
on -X- _ O
time. -X- _ O
For -X- _ O
some -X- _ O
reason -X- _ O
I -X- _ O
realized -X- _ O
that -X- _ O
there -X- _ O
was -X- _ O
a -X- _ O
late -X- _ O
payment -X- _ O
on -X- _ O
my -X- _ O
credit -X- _ O
report. -X- _ O
As -X- _ O
you -X- _ O
can -X- _ O
see, -X- _ O
I -X- _ O
have -X- _ O
always -X- _ O
had -X- _ O
a -X- _ O
stellar -X- _ O
payment -X- _ O
record -X- _ O
with -X- _ O
this -X- _ O
company. -X- _ O
I -X- _ O
tried -X- _ O
contacting -X- _ O
both -X- _ O
XXXX, -X- _ O
XXXX -X- _ O
and -X- _ O
CAPITAL -X- _ O
ONE -X- _ O
AUTO -X- _ O
FINAN -X- _ O
with -X- _ O
no -X- _ O
successful -X- _ O
resolution. -X- _ O
XXXX -X- _ O
and -X- _ O
XXXX -X- _ O
were -X- _ O
reporting -X- _ O
me -X- _ O
late. -X- _ O
There -X- _ O
was -X- _ O
definitely -X- _ O
an -X- _ O
error -X- _ O
on -X- _ O
their -X- _ O
part. -X- _ O
I -X- _ O
was -X- _ O
never -X- _ O
30 -X- _ O
days -X- _ O
late -X- _ O
XXXX -X- _ O
XXXX -X- _ O
/ -X- _ O
